,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2016 NEW YORK CITY POPULATION
TOTAL,2016,26.4,1.5,9.9,"8,469,153"
BRONX,2016,33.8,2.0,10.6,"1,445,686"
Crotona - Tremont,2016,40.5,2.8,11.9,"215,002"
Fordham - Bronx Park,2016,38.9,2.1,7.8,"267,214"
High Bridge - Morrisania,2016,42.9,2.8,12.7,"219,342"
Hunts Point - Mott Haven,2016,47.9,2.7,9.7,"141,828"
Kingsbridge - Riverdale,2016,15.0,0.8,16.6,"93,312"
Northeast Bronx,2016,23.4,1.3,12.6,"205,196"
Pelham - Throgs Neck,2016,24.4,1.4,8.5,"303,791"
BROOKLYN,2016,21.7,1.1,9.0,"2,608,423"
Bedford Stuyvesant - Crown Heights,2016,51.5,2.3,12.4,"330,293"
Bensonhurst - Bay Ridge,2016,6.3,0.3,13.9*,"206,995"
Borough Park,2016,5.7,0.3,4.5*,"333,639"
Canarsie - Flatlands,2016,17.6,0.8,8.3,"210,033"
Coney Island - Sheepshead Bay,2016,9.6,0.4,8.4,"291,654"
Downtown - Heights - Park Slope,2016,12.8,1.0,7.5,"257,847"
East Flatbush - Flatbush,2016,29.2,1.7,6.6,"301,337"
East New York,2016,36.1,1.8,9.0,"191,096"
Greenpoint,2016,7.2*,0.6,8.9*,"139,701"
Sunset Park,2016,18.5,0.7,8.4,"123,990"
Williamsburg - Bushwick,2016,34.3,1.7,8.6,"221,837"
MANHATTAN,2016,26.1,2.0,5.9,"1,619,317"
Central Harlem - Morningside Heights,2016,44.4,2.6,6.9,"182,507"
Chelsea - Clinton,2016,51.1,4.3,4.4,"158,382"
East Harlem,2016,44.3,2.6,13.0,"115,253"
Gramercy Park - Murray Hill,2016,12.2,1.5,3.3,"130,735"
Greenwich Village - Soho,2016,30.4,2.3,1.9*,"82,271"
Lower Manhattan,2016,15.0*,1.0,8.2*,"60,005"
Union Square - Lower East Side,2016,18.8,1.6,7.2,"186,089"
Upper East Side,2016,6.5,0.7,4.2,"214,398"
Upper West Side,2016,12.4,1.5,6.6,"218,414"
Washington Heights - Inwood,2016,29.9,1.7,5.1,"271,262"
QUEENS,2016,17.3,0.8,7.8,"2,317,339"
Bayside - Little Neck,2016,4.5*,0.2,11.7*,"88,926"
Flushing - Clearview,2016,8.3,0.3,8.4*,"252,560"
Fresh Meadows,2016,5.9*,0.3,0.0*,"101,099"
Jamaica,2016,15.4,1.0,9.6,"318,191"
Long Island City - Astoria,2016,25.5,1.0,5.7,"212,076"
Ridgewood - Forest Hills,2016,15.3,0.5,5.2,"261,511"
Rockaway,2016,12.4,1.0,20.8,"128,862"
Southeast Queens,2016,14.7,0.6,7.9,"210,488"
Southwest Queens,2016,15.8,0.6,6.8,"285,218"
West Queens,2016,29.0,1.3,3.7,"458,407"
STATEN ISLAND,2016,16.5,0.5,13.9,"474,039"
Port Richmond,2016,25.1,0.9,14.6,"67,863"
South Beach - Tottenville,2016,12.4,0.2,12.6*,"194,101"
Stapleton - St. George,2016,20.5,0.9,13.9,"122,055"
Willowbrook,2016,12.2,0.2,23.4*,"90,021"
