,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2015 NEW YORK CITY POPULATION
TOTAL,2015,28.0,1.5,10.0,"8,468,181"
BRONX,2015,33.4,2.0,10.9,"1,441,532"
Crotona - Tremont,2015,44.7,2.7,11.3,"216,807"
Fordham - Bronx Park,2015,37.4,2.1,8.7,"262,275"
High Bridge - Morrisania,2015,39.3,2.7,14.8,"218,941"
Hunts Point - Mott Haven,2015,47.3,2.7,12.5,"141,500"
Kingsbridge - Riverdale,2015,13.9,0.7,5.8*,"93,693"
Northeast Bronx,2015,25.1,1.3,9.0,"203,035"
Pelham - Throgs Neck,2015,22.9,1.4,8.7,"305,282"
BROOKLYN,2015,23.7,1.1,9.9,"2,610,607"
Bedford Stuyvesant - Crown Heights,2015,49.3,2.3,12.7,"332,924"
Bensonhurst - Bay Ridge,2015,5.4,0.3,3.6*,"204,401"
Borough Park,2015,7.4,0.3,9.8,"338,482"
Canarsie - Flatlands,2015,21.5,0.8,7.6,"209,329"
Coney Island - Sheepshead Bay,2015,8.6,0.4,6.9,"289,619"
Downtown - Heights - Park Slope,2015,15.6,1.0,9.8,"256,802"
East Flatbush - Flatbush,2015,29.7,1.7,7.3,"303,041"
East New York,2015,41.1,1.8,11.7,"189,839"
Greenpoint,2015,18.2,0.6,7.9*,"137,046"
Sunset Park,2015,18.9,0.7,7.3*,"127,218"
Williamsburg - Bushwick,2015,41.5,1.7,11.8,"221,907"
MANHATTAN,2015,32.6,2.0,6.8,"1,620,659"
Central Harlem - Morningside Heights,2015,45.6,2.6,10.3,"182,161"
Chelsea - Clinton,2015,59.8,4.5,4.3,"150,507"
East Harlem,2015,49.7,2.6,14.0,"114,665"
Gramercy Park - Murray Hill,2015,21.4,1.5,3.7,"130,848"
Greenwich Village - Soho,2015,36.8,2.3,3.7,"84,293"
Lower Manhattan,2015,31.4,1.0,3.7*,"60,491"
Union Square - Lower East Side,2015,19.6,1.6,7.5,"188,874"
Upper East Side,2015,16.8,0.6,4.9,"219,659"
Upper West Side,2015,16.6,1.4,8.2,"216,734"
Washington Heights - Inwood,2015,40.0,1.7,5.9,"272,428"
QUEENS,2015,17.5,0.8,6.5,"2,318,495"
Bayside - Little Neck,2015,0.0*,0.2,0.0*,"88,470"
Flushing - Clearview,2015,9.1,0.3,5.7*,"253,337"
Fresh Meadows,2015,7.9*,0.3,6.8*,"101,174"
Jamaica,2015,22.2,1.0,10.2,"319,868"
Long Island City - Astoria,2015,25.5,1.0,4.2*,"212,060"
Ridgewood - Forest Hills,2015,11.6,0.5,7.1,"258,096"
Rockaway,2015,15.3,1.0,15.0,"124,360"
Southeast Queens,2015,11.4,0.6,7.6,"210,015"
Southwest Queens,2015,15.3,0.6,7.1,"288,376"
West Queens,2015,28.5,1.2,3.4,"462,739"
STATEN ISLAND,2015,12.5,0.5,12.1,"472,521"
Port Richmond,2015,14.8*,0.9,2.3*,"67,778"
South Beach - Tottenville,2015,9.3,0.2,8.3*,"193,556"
Stapleton - St. George,2015,17.1,0.9,19.7,"122,531"
Willowbrook,2015,11.3*,0.2,5.7*,"88,656"
