,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2023 NEW YORK CITY POPULATION
Total,2023,19.0,1.5,9.8,"8,258,035"
Bronx,2023,27.5,2.3,10.8,"1,356,476"
Crotona - Tremont,2023,35.0,3.2,12.8,"205,424"
Fordham - Bronx Park,2023,33.5,2.5,11.2,"244,924"
High Bridge - Morrisania,2023,35.0,3.2,13.1,"205,614"
Hunts Point - Mott Haven,2023,33.9,3.0,10.2,"138,738"
Kingsbridge - Riverdale,2023,12.5,1.0,9.9,"87,951"
Northeast Bronx,2023,20.0,1.5,9.9,"195,305"
Pelham - Throgs Neck,2023,17.5,1.6,5.5,"285,128"
Brooklyn,2023,18.0,1.2,9.3,"2,561,225"
Bedford Stuyvesant - Crown Heights,2023,28.7,2.4,9.2,"337,687"
Bensonhurst - Bay Ridge,2023,4.5*,0.4,5.9*,"199,759"
Borough Park,2023,7.1,0.4,6.4,"324,573"
Canarsie - Flatlands,2023,22.8,1.0,6.0,"197,083"
Coney Island - Sheepshead Bay,2023,10.3,0.5,6.1*,"281,917"
Downtown - Heights - Park Slope,2023,13.0,1.0,5.0,"261,392"
East Flatbush - Flatbush,2023,24.4,2.1,9.3,"286,696"
East New York,2023,29.3,1.9,21.5,"194,343"
Greenpoint,2023,6.9*,0.6,4.2*,"144,351"
Sunset Park,2023,14.7,0.8,4.6*,"115,999"
Williamsburg - Bushwick,2023,31.7,1.8,6.6,"217,426"
Manhattan,2023,18.7,2.1,6.5,"1,597,451"
Central Harlem - Morningside Heights,2023,28.9,2.8,10.5,"180,078"
Chelsea - Clinton,2023,34.5,4.6,3.8,"156,295"
East Harlem,2023,32.8,2.7,10.0,"109,634"
Gramercy Park - Murray Hill,2023,21.1,1.5,4.3,"132,699"
Greenwich Village - Soho,2023,7.6*,2.1,2.6*,"78,779"
Lower Manhattan,2023,9.7*,1.0,1.1*,"62,114"
Union Square - Lower East Side,2023,10.8,1.6,7.8,"184,777"
Upper East Side,2023,8.7,0.8,6.2,"207,537"
Upper West Side,2023,8.9,1.4,7.9,"225,608"
Washington Heights - Inwood,2023,22.5,2.0,6.4,"249,151"
Queens,2023,15.6,0.9,5.0,"2,252,196"
Bayside - Little Neck,2023,1.1*,0.2,1.7*,"88,801"
Flushing - Clearview,2023,9.3,0.4,6.4*,"247,925"
Fresh Meadows,2023,7.1*,0.3,5.5*,"98,175"
Jamaica,2023,18.5,1.1,7.0,"313,876"
Long Island City - Astoria,2023,17.7,1.3,5.0,"197,763"
Ridgewood - Forest Hills,2023,7.9,0.6,0.9*,"252,339"
Rockaway,2023,17.0,1.0,15.0,"129,760"
Southeast Queens,2023,11.0,0.7,7.0,"209,571"
Southwest Queens,2023,13.2,0.8,3.3*,"272,416"
West Queens,2023,28.3,1.4,2.9,"445,740"
Staten Island,2023,9.0,0.5,8.3,"490,687"
Port Richmond,2023,11.1*,0.9,7.3*,"71,971"
South Beach - Tottenville,2023,4.6*,0.2,3.7*,"195,623"
Stapleton - St. George,2023,10.9,0.9,10.5,"127,982"
Willowbrook,2023,13.7,0.3,8.6*,"95,111"
