,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2010 NEW YORK CITY POPULATION
TOTAL,2010,41.6,1.4,14.2,"8,252,456"
BRONX,2010,47.5,1.8,15.4,"1,384,143"
Crotona - Tremont,2010,59.2,2.4,16.5,"206,208"
Fordham - Bronx Park,2010,49.9,1.8,12.5,"252,757"
High Bridge - Morrisania,2010,58.6,2.6,19.7,"208,027"
Hunts Point - Mott Haven,2010,65.0,2.3,13.9,"136,924"
Kingsbridge - Riverdale,2010,17.6,0.7,11.1,"91,090"
Northeast Bronx,2010,38.3,1.2,16.7,"190,806"
Pelham - Throgs Neck,2010,36.9,1.4,12.3,"298,330"
BROOKLYN,2010,34.1,1.1,14.6,"2,556,584"
Bedford Stuyvesant - Crown Heights,2010,66.0,2.3,18.4,"319,678"
Bensonhurst - Bay Ridge,2010,4.6*,0.3,18.6,"215,315"
Borough Park,2010,8.7,0.3,9.5,"343,071"
Canarsie - Flatlands,2010,31.8,0.7,16.0,"198,077"
Coney Island - Sheepshead Bay,2010,9.3,0.4,23.3,"300,511"
Downtown - Heights - Park Slope,2010,37.5,1.2,8.1,"224,124"
East Flatbush - Flatbush,2010,56.5,1.7,10.8,"299,067"
East New York,2010,54.5,1.5,18.3,"188,859"
Greenpoint,2010,18.9,0.7,12.1*,"126,906"
Sunset Park,2010,23.9,0.6,6.3*,"129,548"
Williamsburg - Bushwick,2010,55.3,1.7,15.3,"211,428"
MANHATTAN,2010,57.2,1.9,10.1,"1,578,148"
Central Harlem - Morningside Heights,2010,93.0,2.8,13.2,"163,420"
Chelsea - Clinton,2010,142.0,4.3,3.7,"145,112"
East Harlem,2010,76.1,2.5,17.3,"110,421"
Gramercy Park - Murray Hill,2010,47.6,1.5,8.4,"134,375"
Greenwich Village - Soho,2010,64.6,2.3,4.8*,"83,540"
Lower Manhattan,2010,42.9,1.0,3.5*,"53,606"
Union Square - Lower East Side,2010,32.7,1.6,13.0,"198,686"
Upper East Side,2010,17.2,0.6,16.0,"220,391"
Upper West Side,2010,30.5,1.4,9.6,"219,684"
Washington Heights - Inwood,2010,57.0,1.6,10.7,"248,912"
QUEENS5,2010,24.0,0.7,10.0,"2,259,965"
Bayside - Little Neck,2010,2.3*,0.2,10.2*,"88,047"
Flushing - Clearview,2010,5.4,0.2,10.8*,"259,940"
Fresh Meadows,2010,8.2*,0.3,1.7*,"96,985"
Jamaica,2010,38.3,1.1,17.6,"289,800"
Long Island City - Astoria,2010,37.8,0.8,8.0,"214,437"
Ridgewood - Forest Hills,2010,13.0,0.4,12.1,"246,073"
Rockaway,2010,32.1,0.9,18.9,"115,417"
Southeast Queens,2010,18.8,0.6,10.4,"191,614"
Southwest Queens,2010,21.4,0.6,7.1,"266,479"
West Queens,2010,33.0,1.0,4.2,"491,173"
STATEN ISLAND,2010,12.1,0.5,18.0,"469,363"
Port Richmond,2010,15.6,0.8,13.1,"70,533"
South Beach - Tottenville,2010,7.9,0.2,14.2*,"189,487"
Stapleton - St. George,2010,22.6,0.8,16.2,"123,802"
Willowbrook,2010,3.5*,0.2,43.6*,"85,542"
