,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2021 NEW YORK CITY POPULATION
Total,2021,17.4,1.4,11.0,"8,462,216"
Bronx,2021,26.3,2.2,12.8,"1,424,084"
Crotona - Tremont,2021,33.8,3.0,13.4,"216,253"
Fordham - Bronx Park,2021,27.2,2.3,12.1,"257,634"
High Bridge - Morrisania,2021,31.9,2.9,13.9,"216,128"
Hunts Point - Mott Haven,2021,33.6,2.8,12.3,"145,736"
Kingsbridge - Riverdale,2021,13.0,0.9,18.6,"92,172"
Northeast Bronx,2021,25.9,1.4,10.7,"204,249"
Pelham - Throgs Neck,2021,16.4,1.5,11.8,"298,683"
Brooklyn,2021,15.5,1.2,10.0,"2,637,522"
Bedford Stuyvesant - Crown Heights,2021,31.9,2.3,11.8,"350,856"
Bensonhurst - Bay Ridge,2021,3.9*,0.4,5.9*,"203,597"
Borough Park,2021,4.5,0.4,4.0*,"331,903"
Canarsie - Flatlands,2021,13.2,0.9,14.6,"205,084"
Coney Island - Sheepshead Bay,2021,8.0,0.4,13.6,"287,018"
Downtown - Heights - Park Slope,2021,9.0,1.0,4.6,"267,123"
East Flatbush - Flatbush,2021,19.5,1.9,9.4,"297,902"
East New York,2021,30.5,1.8,16.9,"203,085"
Greenpoint,2021,6.1*,0.6,7.4*,"147,296"
Sunset Park,2021,6.7*,0.7,5.3*,"119,397"
Williamsburg - Bushwick,2021,28.1,1.7,7.8,"224,260"
Manhattan,2021,18.2,2.1,7.5,"1,578,055"
Central Harlem - Morningside Heights,2021,33.3,2.8,10.0,"180,197"
Chelsea - Clinton,2021,34.0,4.7,7.7,"153,080"
East Harlem,2021,27.4,2.6,12.9,"109,588"
Gramercy Park - Murray Hill,2021,17.1,1.6,5.2,"128,966"
Greenwich Village - Soho,2021,7.8*,2.2,4.0*,"77,223"
Lower Manhattan,2021,6.6*,1.0,6.3*,"60,517"
Union Square - Lower East Side,2021,11.1,1.6,7.9,"180,440"
Upper East Side,2021,10.2,0.7,5.9,"205,192"
Upper West Side,2021,9.8,1.4,5.7,"223,717"
Washington Heights - Inwood,2021,19.8,2.0,8.1,"248,089"
Queens,2021,12.2,0.8,5.9,"2,329,008"
Bayside - Little Neck,2021,0.0 *,0.2,11.8*,"91,453"
Flushing - Clearview,2021,5.5,0.3,7.4*,"253,747"
Fresh Meadows,2021,5.9*,0.3,5.3*,"101,374"
Jamaica,2021,17.2,1.0,7.1,"325,331"
Long Island City - Astoria,2021,19.4,1.2,6.1,"205,779"
Ridgewood - Forest Hills,2021,10.7,0.5,6.5,"261,697"
Rockaway,2021,10.3,1.0,10.3,"135,481"
Southeast Queens,2021,9.2,0.6,3.9*,"217,326"
Southwest Queens,2021,9.6,0.7,5.3,"281,626"
West Queens,2021,17.4,1.2,4.3,"459,468"
Staten Island,2021,8.1,0.5,10.7,"493,547"
Port Richmond,2021,13.7*,0.9,3.8*,"72,808"
South Beach - Tottenville,2021,4.5*,0.2,8.0*,"198,620"
Stapleton - St. George,2021,13.3,0.9,15.3,"127,849"
Willowbrook,2021,4.2*,0.2,1.5*,"94,271"
