,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2018 NEW YORK CITY POPULATION
TOTAL,2018,22.2,1.5,9.5,"8,826,472"
BRONX,2018,28.2,2.0,11.1,"1,505,642"
Crotona - Tremont,2018,36.6,2.8,13.8,"226,557"
Fordham - Bronx Park,2018,31.2,2.1,8.5,"278,641"
High Bridge - Morrisania,2018,45.4,2.8,12.5,"226,853"
Hunts Point - Mott Haven,2018,27.9,2.7,8.8,"147,138"
Kingsbridge - Riverdale,2018,8.1*,0.8,14.0,"98,388"
Northeast Bronx,2018,20.4,1.3,10.0,"215,386"
Pelham - Throgs Neck,2018,18.7,1.4,8.5,"315,337"
BROOKLYN,2018,19.9,1.1,8.3,"2,712,174"
Bedford Stuyvesant - Crown Heights,2018,37.7,2.2,11.3,"347,638"
Bensonhurst - Bay Ridge,2018,7.4,0.3,5.8*,"216,063"
Borough Park,2018,7.0,0.3,9.1,"342,704"
Canarsie - Flatlands,2018,22.2,0.8,6.9,"215,910"
Coney Island - Sheepshead Bay,2018,6.6,0.4,9.4,"304,057"
Downtown - Heights - Park Slope,2018,13.7,1.0,5.9,"270,820"
East Flatbush - Flatbush,2018,30.8,1.8,7.6,"308,686"
East New York,2018,30.5,1.8,10.1,"199,905"
Greenpoint,2018,7.3,0.6,2.2*,"150,381"
Sunset Park,2018,15.1,0.7,3.7*,"126,166"
Williamsburg - Bushwick,2018,33.5,1.7,7.3,"229,844"
MANHATTAN,2018,21.6,1.9,5.6,"1,715,962"
Central Harlem - Morningside Heights,2018,40.5,2.6,9.2,"190,035"
Chelsea - Clinton,2018,38.8,4.1,3.8,"170,049"
East Harlem,2018,31.5,2.6,10.2,"117,498"
Gramercy Park - Murray Hill,2018,5.6*,1.4,3.2,"141,630"
Greenwich Village - Soho,2018,15.1,2.1,4.9*,"85,971"
Lower Manhattan,2018,15.0*,0.9,5.0*,"66,745"
Union Square - Lower East Side,2018,10.8,1.5,6.5,"194,437"
Upper East Side,2018,7.1,0.7,5.1,"224,467"
Upper West Side,2018,13.6,1.4,4.4,"228,001"
Washington Heights - Inwood,2018,32.2,1.7,5.0,"279,571"
QUEENS,2018,14.8,0.8,5.0,"2,391,767"
Bayside - Little Neck,2018,1.1*,0.2,4.5*,"92,610"
Flushing - Clearview,2018,8.4,0.3,9.0*,"262,500"
Fresh Meadows,2018,7.6*,0.3,0.0*,"104,686"
Jamaica,2018,16.5,1.0,4.4,"332,457"
Long Island City - Astoria,2018,22.6,1.1,5.6*,"212,786"
Ridgewood - Forest Hills,2018,13.2,0.5,2.7*,"273,704"
Rockaway,2018,13.2,1.0,7.7,"136,083"
Southeast Queens,2018,9.8,0.6,3.4*,"224,213"
Southwest Queens,2018,17.7,0.6,8.8,"293,932"
West Queens,2018,19.6,1.2,4.5,"473,695"
STATEN ISLAND,2018,5.6,0.5,6.4,"500,927"
Port Richmond,2018,16.4,0.9,5.4*,"73,287"
South Beach - Tottenville,2018,3.4*,0.2,10.4*,"203,504"
Stapleton - St. George,2018,5.4*,0.9,6.5,"129,152"
Willowbrook,2018,2.1*,0.2,7.6*,"94,983"
