,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2013 NEW YORK CITY POPULATION
TOTAL,2013,34.4,1.4,11.1,"8,422,460"
BRONX,2013,37.4,1.9,12.3,"1,426,184"
Crotona - Tremont,2013,51.3,2.4,14.9,"214,569"
Fordham - Bronx Park,2013,41.8,2.0,10.8,"253,860"
High Bridge - Morrisania,2013,51.2,2.6,17.7,"216,884"
Hunts Point - Mott Haven,2013,41.6,2.5,11.3,"141,885"
Kingsbridge - Riverdale,2013,14.1,0.7,0.8*,"92,097"
Northeast Bronx,2013,25.7,1.2,9.4,"202,033"
Pelham - Throgs Neck,2013,27.2,1.4,8.3,"304,855"
BROOKLYN,2013,27.2,1.1,11.1,"2,595,344"
Bedford Stuyvesant - Crown Heights,2013,54.2,2.3,14.2,"330,428"
Bensonhurst - Bay Ridge,2013,7.2,0.3,9.0*,"208,528"
Borough Park,2013,7.9,0.3,7.4,"341,865"
Canarsie - Flatlands,2013,25.5,0.7,13.7,"207,498"
Coney Island - Sheepshead Bay,2013,13.5,0.4,13.4,"282,030"
Downtown - Heights - Park Slope,2013,22.1,1.1,6.8,"248,863"
East Flatbush - Flatbush,2013,38.2,1.7,8.6,"301,282"
East New York,2013,39.8,1.7,14.6,"188,266"
Greenpoint,2013,20.6,0.7,6.2*,"135,901"
Sunset Park,2013,13.1,0.6,10.2*,"130,032"
Williamsburg - Bushwick,2013,47.6,1.7,11.1,"220,650"
MANHATTAN,2013,42.8,1.9,8.0,"1,615,012"
Central Harlem - Morningside Heights,2013,68.6,2.6,10.9,"176,471"
Chelsea - Clinton,2013,92.4,4.3,5.2,"152,606"
East Harlem,2013,41.7,2.6,14.6,"112,610"
Gramercy Park - Murray Hill,2013,29.3,1.6,5.4,"129,782"
Greenwich Village - Soho,2013,36.8,2.4,3.9*,"81,429"
Lower Manhattan,2013,23.5,0.9,8.4*,"59,604"
Union Square - Lower East Side,2013,42.4,1.7,11.0,"195,868"
Upper East Side,2013,16.0,0.6,6.0,"219,056"
Upper West Side,2013,21.9,1.4,5.8,"219,183"
Washington Heights - Inwood,2013,47.3,1.6,9.6,"268,404"
QUEENS,2013,19.8,0.7,6.9,"2,309,101"
Bayside - Little Neck,2013,1.1*,0.2,8.3*,"89,987"
Flushing - Clearview,2013,9.0,0.2,7.5*,"256,694"
Fresh Meadows,2013,5.0*,0.3,5.3*,"99,976"
Jamaica,2013,21.7,1.0,8.0,"312,715"
Long Island City - Astoria,2013,36.9,0.9,5.5*,"211,614"
Ridgewood - Forest Hills,2013,13.1,0.5,9.8,"251,887"
Rockaway,2013,23.9,0.9,12.8,"121,171"
Southeast Queens,2013,16.0,0.6,4.7*,"206,313"
Southwest Queens,2013,16.7,0.6,8.1,"288,151"
West Queens,2013,29.5,1.2,5.3,"470,592"
STATEN ISLAND,2013,11.2,0.5,22.7,"472,515"
Port Richmond,2013,31.5,0.8,15.5,"66,600"
South Beach - Tottenville,2013,3.1*,0.2,7.9*,"195,792"
Stapleton - St. George,2013,18.7,0.8,29.7,"122,947"
Willowbrook,2013,2.3*,0.2,38.6*,"87,176"
