,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2017 NEW YORK CITY POPULATION
TOTAL,2017,24.6,1.5,9.4,"8,437,695"
BRONX,2017,30.8,2.1,9.8,"1,441,665"
Crotona - Tremont,2017,37.4,2.9,11.2,"216,548"
Fordham - Bronx Park,2017,31.2,2.1,9.2,"266,322"
High Bridge - Morrisania,2017,36.4,2.9,12.4,"216,785"
Hunts Point - Mott Haven,2017,43.4,2.8,8.1,"140,584"
Kingsbridge - Riverdale,2017,13.8,0.8,11.0*,"94,198"
Northeast Bronx,2017,25.7,1.3,9.6,"205,964"
Pelham - Throgs Neck,2017,24.6,1.5,6.6,"301,263"
BROOKLYN,2017,23.3,1.2,9.2,"2,594,357"
Bedford Stuyvesant - Crown Heights,2017,38.9,2.3,11.3,"333,974"
Bensonhurst - Bay Ridge,2017,9.2,0.3,7.3*,"205,855"
Borough Park,2017,8.3,0.3,10.2,"326,542"
Canarsie - Flatlands,2017,19.3,0.8,11.9,"207,520"
Coney Island - Sheepshead Bay,2017,12.1,0.4,6.9,"289,480"
Downtown - Heights - Park Slope,2017,16.3,1.1,6.3,"258,009"
East Flatbush - Flatbush,2017,31.7,1.8,7.7,"296,359"
East New York,2017,43.1,1.8,9.9,"192,580"
Greenpoint,2017,14.7,0.6,6.2*,"142,926"
Sunset Park,2017,21.5,0.7,4.9*,"120,709"
Williamsburg - Bushwick,2017,39.5,1.7,11.4,"220,403"
MANHATTAN,2017,24.1,2.0,5.7,"1,616,192"
Central Harlem - Morningside Heights,2017,40.7,2.7,7.4,"181,754"
Chelsea - Clinton,2017,42.8,4.3,3.3,"161,164"
East Harlem,2017,32.1,2.7,13.6,"112,233"
Gramercy Park - Murray Hill,2017,16.3,1.5,2.2*,"134,605"
Greenwich Village - Soho,2017,17.1,2.3,2.7*,"81,703"
Lower Manhattan,2017,19.0,0.9,5.7*,"63,146"
Union Square - Lower East Side,2017,16.2,1.6,6.2,"184,713"
Upper East Side,2017,6.1,0.7,5.9,"213,148"
Upper West Side,2017,9.7,1.5,5.0,"216,769"
Washington Heights - Inwood,2017,36.7,1.8,5.9,"266,957"
QUEENS,2017,16.7,0.8,5.6,"2,305,351"
Bayside - Little Neck,2017,5.6*,0.2,14.0*,"88,752"
Flushing - Clearview,2017,7.6,0.3,5.5*,"250,817"
Fresh Meadows,2017,6.0*,0.3,17.7*,"100,396"
Jamaica,2017,23.8,1.0,7.5,"318,841"
Long Island City - Astoria,2017,23.4,1.1,2.5*,"205,270"
Ridgewood - Forest Hills,2017,7.2,0.5,4.4*,"263,378"
Rockaway,2017,14.5,1.0,14.3,"131,073"
Southeast Queens,2017,12.3,0.6,8.1,"210,687"
Southwest Queens,2017,16.3,0.7,6.5,"281,915"
West Queens,2017,26.4,1.3,1.8,"454,222"
STATEN ISLAND,2017,8.0,0.5,10.8,"475,819"
Port Richmond,2017,20.1,0.9,7.6*,"69,576"
South Beach - Tottenville,2017,2.1*,0.2,8.6*,"194,471"
Stapleton - St. George,2017,13.9,0.9,14.0,"122,288"
Willowbrook,2017,3.4*,0.2,14.5*,"89,484"
