,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2011 NEW YORK CITY POPULATION
TOTAL,2011,40.9,1.4,13.5,"8,287,000"
BRONX,2011,44.9,1.8,14.9,"1,397,723"
Crotona - Tremont,2011,47.6,2.4,15.9,"208,046"
Fordham - Bronx Park,2011,43.5,1.9,10.6,"255,072"
High Bridge - Morrisania,2011,65.5,2.6,20.9,"212,335"
Hunts Point - Mott Haven,2011,69.3,2.3,11.4,"138,524"
Kingsbridge - Riverdale,2011,21.8,0.7,22.5,"91,609"
Northeast Bronx,2011,35.0,1.2,13.8,"191,636"
Pelham - Throgs Neck,2011,31.6,1.4,12.3,"300,502"
BROOKLYN,2011,36.6,1.1,14.4,"2,544,744"
Bedford Stuyvesant - Crown Heights,2011,73.8,2.3,16.5,"318,563"
Bensonhurst - Bay Ridge,2011,11.8,0.3,8.6*,"212,331"
Borough Park,2011,8.6,0.3,11.4,"338,525"
Canarsie - Flatlands,2011,34.1,0.8,9.3,"196,254"
Coney Island - Sheepshead Bay,2011,9.5,0.4,20.9,"295,142"
Downtown - Heights - Park Slope,2011,36.5,1.2,13.9,"224,834"
East Flatbush - Flatbush,2011,55.7,1.7,11.2,"297,896"
East New York,2011,43.7,1.6,15.9,"187,669"
Greenpoint,2011,29.1,0.7,14.5,"133,858"
Sunset Park,2011,20.9,0.6,8.8*,"129,205"
Williamsburg - Bushwick,2011,69.8,1.8,19.1,"210,467"
MANHATTAN,2011,51.6,1.9,10.5,"1,601,133"
Central Harlem - Morningside Heights,2011,87.1,2.8,18.8,"164,109"
Chelsea - Clinton,2011,110.3,4.1,6.4,"153,194"
East Harlem,2011,69.8,2.5,18.2,"111,789"
Gramercy Park - Murray Hill,2011,34.8,1.4,5.3,"134,972"
Greenwich Village - Soho,2011,42.7,2.3,4.6,"84,222"
Lower Manhattan,2011,23.0,1.0,8.8*,"56,443"
Union Square - Lower East Side,2011,45.5,1.6,11.6,"199,829"
Upper East Side,2011,16.6,0.6,9.7,"222,938"
Upper West Side,2011,29.6,1.4,7.7,"222,603"
Washington Heights - Inwood,2011,54.2,1.6,8.5,"251,033"
QUEENS,2011,21.6,0.7,8.8,"2,268,043"
Bayside - Little Neck,2011,6.8*,0.2,17.4*,"88,105"
Flushing - Clearview,2011,7.6,0.2,17.0,"261,806"
Fresh Meadows,2011,8.2*,0.3,14.2*,"97,235"
Jamaica,2011,35.0,1.0,10.8,"291,793"
Long Island City - Astoria,2011,28.0,0.8,6.0*,"214,511"
Ridgewood - Forest Hills,2011,13.5,0.4,4.7*,"245,268"
Rockaway,2011,22.6,0.9,23.4,"115,246"
Southeast Queens,2011,15.6,0.6,8.2,"192,740"
Southwest Queens,2011,15.0,0.6,11.3,"267,401"
West Queens,2011,33.0,1.1,4.8,"493,940"
STATEN ISLAND,2011,8.3,0.5,19.1,"471,102"
Port Richmond,2011,12.7*,0.8,11.5*,"71,086"
South Beach - Tottenville,2011,2.1*,0.2,18.8*,"189,427"
Stapleton - St. George,2011,19.2,0.8,23.7,"124,679"
Willowbrook,2011,2.3*,0.2,19.2*,"85,909"
