,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2022 NEW YORK CITY POPULATION
Total,2022,17.2,1.4,10.1,"8,335,798"
Bronx,2022,24.8,2.3,11.7,"1,381,808"
Crotona - Tremont,2022,32.9,3.0,12.6,"209,587"
Fordham - Bronx Park,2022,27.6,2.4,11.8,"249,727"
High Bridge - Morrisania,2022,31.0,3.1,11.8,"209,609"
Hunts Point - Mott Haven,2022,33.9,2.9,12.7,"141,392"
Kingsbridge - Riverdale,2022,12.3,0.9,17.8,"89,500"
Northeast Bronx,2022,16.6,1.4,7.9,"198,578"
Pelham - Throgs Neck,2022,16.5,1.5,11.6,"290,086"
Brooklyn,2022,16.5,1.2,8.5,"2,589,531"
Bedford Stuyvesant - Crown Heights,2022,31.5,2.3,10.1,"343,013"
Bensonhurst - Bay Ridge,2022,6.0,0.4,4.1*,"200,883"
Borough Park,2022,8.0,0.4,12.1,"326,999"
Canarsie - Flatlands,2022,13.5,0.9,7.8,"200,505"
Coney Island - Sheepshead Bay,2022,8.8,0.5,7.7,"283,438"
Downtown - Heights - Park Slope,2022,11.4,1.0,8.3,"262,957"
East Flatbush - Flatbush,2022,24.4,2.0,7.7,"291,402"
East New York,2022,29.3,1.9,8.4,"198,077"
Greenpoint,2022,4.1*,0.6,1.7*,"145,112"
Sunset Park,2022,13.7,0.8,3.8*,"117,214"
Williamsburg - Bushwick,2022,22.3,1.7,10.2,"219,931"
Manhattan,2022,18.5,2.1,5.7,"1,594,543"
Central Harlem - Morningside Heights,2022,35.9,2.8,6.2,"180,994"
Chelsea - Clinton,2022,28.9,4.6,4.3,"155,474"
East Harlem,2022,30.0,2.7,11.5,"110,021"
Gramercy Park - Murray Hill,2022,18.2,1.6,4.0,"131,620"
Greenwich Village - Soho,2022,2.6*,2.1,2.9*,"78,374"
Lower Manhattan,2022,9.7*,1.0,3.4*,"61,696"
Union Square - Lower East Side,2022,9.3,1.6,7.0,"183,509"
Upper East Side,2022,5.8,0.8,5.6,"207,067"
Upper West Side,2022,6.2,1.4,7.3,"225,372"
Washington Heights - Inwood,2022,30.5,2.0,5.2,"249,536"
Queens,2022,12.5,0.9,6.1,"2,278,558"
Bayside - Little Neck,2022,2.2*,0.2,0.0 *,"89,710"
Flushing - Clearview,2022,6.4,0.3,8.1*,"249,691"
Fresh Meadows,2022,8.1*,0.3,4.6*,"99,251"
Jamaica,2022,14.2,1.1,7.7,"317,918"
Long Island City - Astoria,2022,15.5,1.3,4.8,"200,382"
Ridgewood - Forest Hills,2022,3.9*,0.6,6.8*,"255,611"
Rockaway,2022,9.9,1.0,14.5,"131,867"
Southeast Queens,2022,7.1,0.7,5.6,"212,355"
Southwest Queens,2022,13.8,0.8,4.9,"275,651"
West Queens,2022,23.8,1.3,3.6,"450,332"
Staten Island,2022,6.5,0.5,9.7,"491,358"
Port Richmond,2022,16.6,0.9,13.8,"72,266"
South Beach - Tottenville,2022,1.0*,0.2,2.4*,"196,691"
Stapleton - St. George,2022,11.0,0.9,10.4,"127,791"
Willowbrook,2022,4.2*,0.2,8.0*,"94,610"
