,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2020 NEW YORK CITY POPULATION
Total,2020,15.1,1.4,12.4,"8,740,292"
Bronx,2020,20.2,2.1,14.7,"1,461,151"
Crotona - Tremont,2020,25.2,2.9,16.5,"222,216"
Fordham - Bronx Park,2020,19.6,2.3,13.3,"264,764"
High Bridge - Morrisania,2020,26.1,2.9,18.3,"221,854"
Hunts Point - Mott Haven,2020,26.7,2.7,14.1,"149,642"
Kingsbridge - Riverdale,2020,4.2*,0.8,9.8,"94,583"
Northeast Bronx,2020,13.4,1.3,14.3,"208,862"
Pelham - Throgs Neck,2020,18.6,1.5,11.7,"306,223"
Brooklyn,2020,14.9,1.1,12.0,"2,718,447"
Bedford Stuyvesant - Crown Heights,2020,27.8,2.2,12.9,"362,837"
Bensonhurst - Bay Ridge,2020,2.9*,0.3,15.5,"208,814"
Borough Park,2020,3.8,0.3,9.1,"341,316"
Canarsie - Flatlands,2020,11.4,0.9,16.6,"210,561"
Coney Island - Sheepshead Bay,2020,6.5,0.4,11.2,"293,746"
Downtown - Heights - Park Slope,2020,11.2,1.0,10.4,"277,390"
East Flatbush - Flatbush,2020,23.8,1.8,11.0,"306,356"
East New York,2020,29.7,1.7,18.7,"209,067"
Greenpoint,2020,7.2,0.6,6.0*,"153,302"
Sunset Park,2020,7.3*,0.7,6.0*,"122,785"
Williamsburg - Bushwick,2020,24.1,1.7,10.0,"232,273"
Manhattan,2020,16.0,1.9,7.7,"1,677,232"
Central Harlem - Morningside Heights,2020,28.7,2.7,10.9,"188,189"
Chelsea - Clinton,2020,31.5,4.3,9.3,"165,095"
East Harlem,2020,24.6,2.6,15.3,"113,749"
Gramercy Park - Murray Hill,2020,10.1,1.5,3.3,"139,278"
Greenwich Village - Soho,2020,14.3,2.1,4.3*,"83,713"
Lower Manhattan,2020,7.5*,0.9,2.7*,"66,229"
Union Square - Lower East Side,2020,9.9,1.5,7.4,"191,417"
Upper East Side,2020,3.6*,0.7,6.1,"220,623"
Upper West Side,2020,8.0,1.3,6.4,"238,945"
Washington Heights - Inwood,2020,20.9,1.9,7.1,"258,585"
Queens,2020,11.0,0.8,8.9,"2,388,864"
Bayside - Little Neck,2020,0.0 *,0.2,0.0 *,"93,564"
Flushing - Clearview,2020,5.4,0.3,13.8,"258,837"
Fresh Meadows,2020,2.9*,0.3,18.6*,"104,023"
Jamaica,2020,13.8,1.0,14.1,"332,644"
Long Island City - Astoria,2020,14.0,1.1,7.1,"213,858"
Ridgewood - Forest Hills,2020,10.0,0.5,8.2,"269,552"
Rockaway,2020,14.4,0.9,24.9,"139,344"
Southeast Queens,2020,10.4,0.6,6.9,"222,032"
Southwest Queens,2020,10.7,0.7,5.2,"288,540"
West Queens,2020,14.7,1.2,3.9,"470,882"
Staten Island,2020,5.7,0.5,15.0,"494,598"
Port Richmond,2020,9.6*,0.9,9.9*,"72,995"
South Beach - Tottenville,2020,3.0*,0.2,13.1*,"199,842"
Stapleton - St. George,2020,10.2,0.9,18.2,"127,747"
Willowbrook,2020,2.1*,0.2,12.3*,"94,013"
